levels;alpha_beta;method;trial;turns;outcome;real_time;date;time
1;0;weighted;18;57;whites_won;0.5395569801330566;2022-05-19;00:26:48.360938
1;0;weighted;19;34;black_won;0.18051719665527344;2022-05-19;00:26:48.902490
1;0;weighted;20;34;black_won;0.1765282154083252;2022-05-19;00:26:49.084005
1;0;weighted;21;25;whites_won;0.182511568069458;2022-05-19;00:26:49.260533
1;0;weighted;22;59;whites_won;0.37100839614868164;2022-05-19;00:26:49.445039
1;0;weighted;23;31;whites_won;0.29122090339660645;2022-05-19;00:26:49.817045
1;0;weighted;24;57;whites_won;0.40691161155700684;2022-05-19;00:26:50.109263
1;0;weighted;25;35;whites_won;0.31116771697998047;2022-05-19;00:26:50.518170
1;0;weighted;26;57;whites_won;0.6412844657897949;2022-05-19;00:26:50.831332
1;0;weighted;27;43;whites_won;0.2573120594024658;2022-05-19;00:26:51.474612
1;0;weighted;28;42;black_won;0.2812478542327881;2022-05-19;00:26:51.732921
1;0;weighted;29;57;whites_won;0.4358346462249756;2022-05-19;00:26:52.015166
1;0;weighted;30;35;whites_won;0.2822451591491699;2022-05-19;00:26:52.452995
1;0;weighted;31;59;whites_won;0.40392065048217773;2022-05-19;00:26:52.737235
1;0;weighted;32;40;black_won;0.2533230781555176;2022-05-19;00:26:53.143150
1;0;weighted;33;43;whites_won;0.23836255073547363;2022-05-19;00:26:53.397470
1;0;weighted;34;42;black_won;0.27426648139953613;2022-05-19;00:26:53.636830
1;0;weighted;35;43;whites_won;0.23836255073547363;2022-05-19;00:26:53.912094
1;0;weighted;36;43;whites_won;0.23337578773498535;2022-05-19;00:26:54.151454
1;0;weighted;37;43;whites_won;0.23138093948364258;2022-05-19;00:26:54.385827
1;0;weighted;38;35;whites_won;0.2872319221496582;2022-05-19;00:26:54.619203
1;0;weighted;39;33;whites_won;0.3121650218963623;2022-05-19;00:26:54.908429
1;0;weighted;40;61;whites_won;0.6223359107971191;2022-05-19;00:26:55.222589
1;0;weighted;41;43;whites_won;0.23038387298583984;2022-05-19;00:26:55.847917
1;0;weighted;42;25;whites_won;0.1795198917388916;2022-05-19;00:26:56.079298
1;0;weighted;43;34;whites_won;0.7420156002044678;2022-05-19;00:26:56.260813
1;0;weighted;44;59;whites_won;0.37200498580932617;2022-05-19;00:26:57.005821
1;0;weighted;45;48;black_won;0.25033044815063477;2022-05-19;00:26:57.378823
1;0;weighted;46;47;black_won;0.21143460273742676;2022-05-19;00:26:57.630151
1;0;weighted;47;59;whites_won;0.37399983406066895;2022-05-19;00:26:57.842583
1;0;weighted;48;42;black_won;0.2702770233154297;2022-05-19;00:26:58.217580
1;1;simple;0;83;draw;0.465822696685791;2022-05-19;00:26:41.736162
1;1;simple;1;48;whites_won;0.17183470726013184;2022-05-19;00:26:42.201985
1;1;simple;2;53;whites_won;0.13331270217895508;2022-05-19;00:26:42.373820
1;1;simple;3;43;whites_won;0.14059162139892578;2022-05-19;00:26:42.507132
1;1;simple;4;48;whites_won;0.17183446884155273;2022-05-19;00:26:42.647724
1;1;simple;5;31;whites_won;0.09372806549072266;2022-05-19;00:26:42.819559
1;1;simple;6;43;whites_won;0.10934972763061523;2022-05-19;00:26:42.913287
1;1;simple;7;63;whites_won;0.17183446884155273;2022-05-19;00:26:43.022636
1;1;simple;8;48;whites_won;0.2030775547027588;2022-05-19;00:26:43.194471
1;1;simple;9;29;whites_won;0.07810640335083008;2022-05-19;00:26:43.397548
1;1;simple;10;48;black_won;0.23431944847106934;2022-05-19;00:26:43.475655
1;1;simple;11;53;whites_won;0.12497091293334961;2022-05-19;00:26:43.709974
1;1;simple;12;48;black_won;0.20307683944702148;2022-05-19;00:26:43.834945
1;1;simple;13;70;black_won;0.2498779296875;2022-05-19;00:26:44.038022
1;1;simple;14;40;whites_won;0.23432040214538574;2022-05-19;00:26:44.287900
1;1;simple;15;29;whites_won;0.12497067451477051;2022-05-19;00:26:44.537841
1;1;simple;16;70;black_won;0.28118419647216797;2022-05-19;00:26:44.678433
1;1;simple;17;51;whites_won;0.24994111061096191;2022-05-19;00:26:44.959617
1;1;simple;18;29;whites_won;0.10934925079345703;2022-05-19;00:26:45.209558
1;1;simple;19;56;black_won;0.2030775547027588;2022-05-19;00:26:45.318907
1;1;simple;20;49;whites_won;0.17183375358581543;2022-05-19;00:26:45.521985
1;1;simple;21;53;whites_won;0.18745684623718262;2022-05-19;00:26:45.693819
1;1;simple;22;40;black_won;0.15621376037597656;2022-05-19;00:26:45.881276
1;1;simple;23;34;black_won;0.3280470371246338;2022-05-19;00:26:46.037489
1;1;simple;24;83;draw;0.8123090267181396;2022-05-19;00:26:46.365536
1;1;simple;25;53;whites_won;0.21869826316833496;2022-05-19;00:26:47.177845
1;1;simple;26;35;whites_won;0.15621328353881836;2022-05-19;00:26:47.396544
1;1;simple;27;29;whites_won;0.10934972763061523;2022-05-19;00:26:47.568379
1;1;simple;28;34;black_won;0.23241591453552246;2022-05-19;00:26:47.677728
1;1;simple;29;48;whites_won;0.2922177314758301;2022-05-19;00:26:47.911142
1;1;simple;30;83;draw;0.576458215713501;2022-05-19;00:26:48.205355
1;1;simple;31;48;black_won;0.23836255073547363;2022-05-19;00:26:48.783808
1;1;simple;32;48;black_won;0.23935985565185547;2022-05-19;00:26:49.023167
1;1;simple;33;48;whites_won;0.20245838165283203;2022-05-19;00:26:49.263525
1;1;simple;34;43;whites_won;0.1077115535736084;2022-05-19;00:26:49.467978
1;1;simple;35;53;whites_won;0.16655445098876953;2022-05-19;00:26:49.576687
1;1;simple;36;49;whites_won;0.18650150299072266;2022-05-19;00:26:49.745236
1;1;simple;37;29;whites_won;0.09773898124694824;2022-05-19;00:26:49.932735
1;1;simple;38;53;whites_won;0.17353558540344238;2022-05-19;00:26:50.031471
1;1;simple;39;40;whites_won;0.14960002899169922;2022-05-19;00:26:50.207002
1;1;simple;40;63;whites_won;0.3899569511413574;2022-05-19;00:26:50.357599
1;1;simple;41;34;black_won;0.14461326599121094;2022-05-19;00:26:50.749551
1;1;simple;42;70;black_won;0.24733853340148926;2022-05-19;00:26:50.895161
1;1;simple;43;44;whites_won;0.16156840324401855;2022-05-19;00:26:51.143498
1;1;simple;44;44;whites_won;0.2184157371520996;2022-05-19;00:26:51.315039
1;1;simple;45;63;whites_won;0.23537111282348633;2022-05-19;00:26:51.535449
1;1;simple;46;31;whites_won;0.12267160415649414;2022-05-19;00:26:51.771818
1;1;simple;47;44;whites_won;0.15957331657409668;2022-05-19;00:26:51.895486
1;1;simple;48;35;whites_won;0.10970664024353027;2022-05-19;00:26:52.057054
1;1;weighted;0;57;whites_won;0.45020151138305664;2022-05-19;00:26:41.751784
1;1;weighted;1;57;whites_won;0.28952574729919434;2022-05-19;00:26:42.201985
1;1;weighted;2;35;whites_won;0.24994134902954102;2022-05-19;00:26:42.491511
1;1;weighted;3;59;whites_won;0.3280479907989502;2022-05-19;00:26:42.741452
1;1;weighted;4;54;black_won;0.48426055908203125;2022-05-19;00:26:43.069500
1;1;weighted;5;42;black_won;0.23432064056396484;2022-05-19;00:26:43.569382
1;1;weighted;6;34;whites_won;0.8591086864471436;2022-05-19;00:26:43.803703
1;1;weighted;7;37;whites_won;0.29680514335632324;2022-05-19;00:26:44.662812
1;1;weighted;8;33;whites_won;0.3905329704284668;2022-05-19;00:26:44.959617
1;1;weighted;9;57;whites_won;0.3749117851257324;2022-05-19;00:26:45.350150
1;1;weighted;10;40;black_won;0.2655637264251709;2022-05-19;00:26:45.725062
1;1;weighted;11;34;black_won;0.2499401569366455;2022-05-19;00:26:45.990625
1;1;weighted;12;43;whites_won;0.2655642032623291;2022-05-19;00:26:46.240566
1;1;weighted;13;42;black_won;0.3124256134033203;2022-05-19;00:26:46.506130
1;1;weighted;14;42;black_won;0.3124258518218994;2022-05-19;00:26:46.818555
1;1;weighted;15;59;whites_won;0.4373972415924072;2022-05-19;00:26:47.130981
1;1;weighted;16;35;whites_won;0.3281383514404297;2022-05-19;00:26:47.584000
1;1;weighted;17;35;whites_won;0.32413244247436523;2022-05-19;00:26:47.914134
